,Sphere,Subsphere,Title,Description,Answer,Answer2,Answer3,is_solved,creator_id,ansver_id,ansver_id2,ansver_id3,deadline,attachments,solved_id,stars,Tags
10,русский язык,Синонимы,Не могу придумать синонимы,5 синонимов к слову красивый,"художественный, 
блестящий, 
картинный, 
видный, 
живописный",Не слышал,,1,3,1.0,2.0,,2021-10-11,,1.0,3,"Синонимы, Склонение, Русский язык"
11,русский язык,Грамматика,Значения слов,"Напишите слова, значения которых приведены ниже.

...    –    отверстие вулкана.
...    –    период, продолжающийся четверть года.
...    –    место на реке, где ее можно перейти.
...    –    наука о небесных светилах.
...    –    машина для уборки хлеба.
...    –    место, где скрещиваются улицы.
...    –    место, где производится добыча камня.
...    –    машина, приводящая в движение состав поезда.
...    –    самый быстрый ход лошади.
...    –    речь, произносимая одним актером.
...    –    металл с примесью земли в том виде, в каком его извлекают из шахты.
...    –    маленькие ячейки из воска, куда пчелы кладут мед.",grdfjhgk,,,0,4,3.0,,,2021-10-12,,,5,"Значение слова, Склонение, Грамматика, Русский язык"
12,русский язык,Грамматика,Значения слов,"Определите, какая разница в значении слов, помещенных ниже. Составьте предложения с этими словами. При выполнении этого упражнения обязательно воспользуйтесь словарями.

а) Бесстрашный – бесстрастный, вихрь – вихор, вдохновенный – вдохновленный, волчонок – волчок, вплоть – вплотную, временный – временной, гостиница – гостиная, греческий – грецкий, дворовый – придворный, замерзший – замерший, здравица – здравница, индиец – индеец, искусный – искусственный, колос – колосс, крепостной – крепостник, невежа – невежда, нестерпимый – нетерпимый.

б) Понятный – понятливый, поступок – проступок, потчевать – почивать, преемник – приемник, прожектор – прожектер, хозяйский – хозяйственный, экскаватор – эскалатор, вытесненный – вытисненный, зонд – зонт, компания – кампания, пребывать – прибывать, предавать – придавать, презирать – призирать, разослать – разостлать, тушь – туш.",fsdghs,,,0,1,2.0,,,2021-10-13,,,4,"Значение слова, Склонение, Грамматика, Русский язык"
13,русский язык,Грамматика,Переносное значение слов,"Найдите в следующих выражениях, среди выделенных слов слова, употребленные в переносном значении.

Жар солнца – жар чувства, тяжесть багажа – тяжесть утраты, гибкость ума – гибкость ветки, каменное здание – каменное сердце, зрелый возраст – зрелый плод, молоть зерно – молоть вздор, строить планы – строить мост, хранить ценности – хранить молчание.",5,5,5,0,2,3.0,4.0,1.0,2021-10-14,,,6,"Значение слова, Склонение, Грамматика, Русский язык"
14,русский язык,Склонения,Просклонять словосочетания,"Просклоняйте словосочетания (существительное + прилагательное по падежам).
И. п. вежливое общение, народные песни","И. п - вежливое общение, народные песни
Р. п - вежливого общения, народной песни
Д. п - вежливому общению, народной песне
В. п - вежливое общение, народную песню
Т. п - вежливым общением, народной песней
П. п - о вежливом общении, народной песне",,,1,3,1.0,,,2021-10-15,,1.0,7,"Склонение, Русский язык"
15,русский язык,Склонения,Определить склонения,"Определи склонение существительных.
Мышь, сеть, чаща, степь, кокос, море, воробей, морковь.","1 скл чаща,
2 скл кокос, море, воробей,
3 скл Мышь сеть, степь, морковь.",,,1,4,2.0,,,2021-10-16,,2.0,8,"Склонение, Русский язык"
16,информатика,Типы данных Python,Что значит float?,Дайте определение типу данных float,"Тип float в Python представляет собой число с плавающей запятой. Число с плавающей запятой используется для представления действительных чисел и записывается с десятичной точкой, разделяющей целую и дробную части. Например, 97.98, 32.3 + e18, -32.54e100 - все числа с плавающей запятой.",,,1,1,3.0,,,2021-10-17,,3.0,1,"Тип данных float, Python, Информатика"
17,информатика,Циклы Python,Отличия циклов,Чем отличается цикл for от while?,"for(буквально ""для"") - применяется когда нужно что-то выполнить в определенном диапазоне. то есть на человеческом языке это будет звучать примерно как: ""для такого диапазона мы делаем что-то"".
while(буквально ""пока"") - применяется когда нужно что-то выполнять неопределенное кол-во раз до выполнение конкретного условия. то есть на человеческом языке это будет звучать примерно как: ""делать что-то пока не выполнится условие"".",,,1,2,4.0,,,2021-10-18,,4.0,2,"Цикл, Python, Информатика"
18,информатика,Типы данных Python,Как перевести float в int,Покажите функцию перевода float в int,"Вам нужна функция int(val), где val - Ваше значение",,,1,3,1.0,,,2021-10-19,,1.0,3,"Тип данных float, Python, Информатика"
19,информатика,Циклы Python,Цикл while,Вводится число N. Выведете все числа от 0 до N включительно.,print('\n'.join([str(i) for i in range(int(input())+1)])),ыпроворып,,0,4,2.0,1.0,,2021-10-20,,,5,"Цикл while, Python, Информатика"
20,информатика,Типы данных Python,Отличия типов данных,Чем отличается int от float,"float хранит значения с плавающей запятой, то есть значения с потенциальными десятичными знаками
int хранит только целые значения, то есть целые числа",,,1,2,3.0,,,2021-10-21,,3.0,4,"Типы данных, Python, Информатика"
21,информатика,Циклы Python,Цикл while,"Вводится число N, затем N целых чисел - для них выведете результат от целочисленного деления на 2.","n = int(input())
while n < 100:
  print(n//2)
  n = int(input())",,,1,1,2.0,,,2021-10-22,,2.0,6,"Цикл while, Python, Информатика"
22,информатика,Системы счисления,Восьмеричная система счисления,Переведите число 110101010 в восьмеричную систему счисления.,110101010(2) = 110 101 010 = 652(8).,,,1,3,1.0,,,2021-10-23,,1.0,7,"Восьмеричная система счисления, Информатика"
23,информатика,Системы счисления,Восьмеричная система счисления,Переведите число 11010000 в восьмеричную систему счисления.,11010000(2) = 11 010 000 = 320(8),111111111111,,0,4,2.0,1.0,,2021-10-24,,,8,"Восьмеричная система счисления, Информатика"
24,информатика,Системы счисления,Основания систем счисления,"Укажите через запятую в порядке возрастания все основания систем счисления, в которых запись числа 18 оканчивается на 3.","Последняя цифра в записи числа представляет собой остаток от деления числа на основание системы счисления. Поскольку 18 - 3 = 15, то искомые основания систем счисления будут являться делителями 15, это: 3, 5, 15. Но основание 3 нам не подходит, так как в троичной системе счисления не может использоваться цифра 3, а по условию именно на нее заканчивается число. Ответ: 5, 15.",,,1,1,2.0,,,2021-10-25,,2.0,1,"Основание системы счисления, Информатика"
25,информатика,Системы счисления,Римская система счисления ,Переведите число MCMXCVI в десятичную систему счисления,MCMXCVI = M + (M - C) + (C - X) + V + I = 1000 + 900 + 90 + 5 + 1 = 1996. Ответ: 1996.,,,1,2,4.0,,,2021-10-26,,4.0,2,"Основание системы счисления, Информатика"
26,информатика,Системы счисления,Римская система счисления ,Переведите число 462 в римскую систему счисления.,462 = 400 + 60 + 2 = (D - C) + (L + X) + (I + I) = CDLXII. Ответ: CDLXII.,,,1,3,4.0,,,2021-10-27,,4.0,3,"Основание системы счисления, Информатика"
27,информатика,Общие определения,Программирование,Дать определение программированию,Программиирование — процесс создания компьютерных программ.,,,1,4,2.0,,,2021-10-28,,2.0,5,"Общие определения, Информатика"
28,информатика,Общие определения,Алгоритм - это,Дать определение алгоритму,"Конечная совокупность точно заданных правил решения некоторого класса задач или набор инструкций, описывающих порядок действий исполнителя для решения определённой задачи. ",,,1,1,3.0,,,2021-10-29,,3.0,4,"Общие определения, Информатика"
29,английский язык,Перевод,Перевести на английский,Перевести на английский фразу: я пойду гулять завтра вечером,I'll go for a walk tomorrow night,ыпвпрырры,,1,2,1.0,4.0,,2021-10-30,,1.0,6,"Перевод, Английский язык"
30,английский язык,Перевод,Перевести на английский,летом я ездил отдыхать к бабушке,in the summer I went on vacation to my grandmother,пырры,,0,3,2.0,4.0,,2021-10-31,,,7,"Перевод, Английский язык"
31,английский язык,Перевод,Перевести на английский,я потерял ключи от дома,I lost my house keys,,,1,4,1.0,,,2021-11-01,,1.0,8,"Перевод, Английский язык"
32,история,Дата,Вторая мировая война,Годы второй мировой,1939-1945,,,1,2,3.0,,,2021-11-02,,3.0,1,"Дата, Вторая мировая война, История"
33,история,Дата,Крещение Руси,В каком году крестили Русь?,155,1999,,0,1,2.0,3.0,,2021-11-03,,,2,"Дата, Крещение Руси, История"
34,история,Дата,Византия,Дата падения Византии?,1453,,,1,3,1.0,,,2021-11-04,,1.0,3,"Дата, Византия, История"
35,история,Событие,Основание города,Какой город основали в 1221 году?,Нижний Новгород,Москва,Санкт-Петербург,1,4,1.0,3.0,2.0,2021-11-05,,1.0,5,"Историческое событие, История"
36,история,Событие,Сражение,Какое сражение произошло в 1242 году в России?,Ледовое побоище,Куликовская битва,,0,1,2.0,3.0,,2021-11-06,,,4,"Сражение, Историческое событие, История"
37,биология,Общие определения,Биология,Дайте определение биологии,Наука о живых существах и их взаимодействии со средой обитания.,Биология,,1,2,3.0,4.0,,2021-11-07,,3.0,6,"Общие определения, Биология"
38,биология,Царство грибы,Сколько существует грибов?,Сколько в мире есть видов грибов,"В настоящее время описано около 100 000 видов грибов, но по некоторым оценкам их может быть около 1,5 миллионов. ",Грибы,,0,3,2.0,,,2021-11-08,,,7,"Царство грибы, Биология"
